model,year,init_month,forecasted_month,rain,tmean,lat,lon
PNU,2000,11,11,0.001130071759223938,12.536920166015648,-40.0,-57.5
PNU,2000,11,11,0.0011300805807113647,12.528771972656273,-40.0,-55.0
PNU,2000,11,11,0.0012638046741485596,13.919610595703148,-37.5,-67.5
PNU,2000,11,11,0.0022390224933624267,17.173242187500023,-37.5,-65.0
PNU,2000,11,11,0.002139441967010498,18.911950683593773,-37.5,-62.5
PNU,2000,11,11,0.0022680184841156006,19.044152832031273,-37.5,-60.0
PNU,2000,11,11,0.0012231947183609009,15.451287841796898,-37.5,-57.5
PNU,2000,11,11,0.0012231903076171874,15.434747314453148,-37.5,-55.0
PNU,2000,11,11,0.0013543832302093505,14.736718750000023,-35.0,-67.5
PNU,2000,11,11,0.003654796838760376,17.499902343750023,-35.0,-65.0
PNU,2000,11,11,0.002914952516555786,19.672052001953148,-35.0,-62.5
PNU,2000,11,11,0.0025092718601226805,20.309869384765648,-35.0,-60.0
PNU,2000,11,11,0.0023484339714050294,20.536645507812523,-35.0,-57.5
PNU,2000,11,11,0.00234843111038208,20.527795410156273,-35.0,-55.0
PNU,2000,11,11,0.0011122610569000244,15.678735351562523,-32.5,-67.5
PNU,2000,11,11,0.004577018737792969,18.390435791015648,-32.5,-65.0
PNU,2000,11,11,0.003303642749786377,19.859460449218773,-32.5,-62.5
PNU,2000,11,11,0.0026144537925720216,20.750085449218773,-32.5,-60.0
PNU,2000,11,11,0.0025099074840545656,20.723107910156273,-32.5,-57.5
PNU,2000,11,11,0.0025099081993103026,20.722161865234398,-32.5,-55.0
PNU,2000,11,11,0.001017877697944641,15.302606201171898,-30.0,-67.5
PNU,2000,11,11,0.006612096309661865,18.398828125000023,-30.0,-65.0
PNU,2000,11,11,0.003787227153778076,20.612969970703148,-30.0,-62.5
PNU,2000,11,11,0.0037251770496368407,20.932397460937523,-30.0,-60.0
PNU,2000,11,11,0.003401105880737305,20.814508056640648,-30.0,-57.5
PNU,2000,11,11,0.003401105880737305,20.814019775390648,-30.0,-55.0
PNU,2001,11,11,0.002101478338241577,10.047021484375023,-45.0,-67.5
PNU,2001,11,11,0.0013728820085525512,10.194207763671898,-45.0,-65.0
PNU,2001,11,11,0.0011485860347747803,10.273400878906273,-45.0,-62.5
PNU,2001,11,11,0.001115517497062683,9.261743164062523,-45.0,-60.0
PNU,2001,11,11,0.0013075802326202393,8.058435058593773,-45.0,-57.5
PNU,2001,11,11,0.001307624340057373,8.032373046875023,-45.0,-55.0
PNU,2001,11,11,0.0018269584178924562,11.218591308593773,-42.5,-67.5
PNU,2001,11,11,0.0016148719787597657,13.894433593750023,-42.5,-65.0
PNU,2001,11,11,0.0010768077373504638,12.176751708984398,-42.5,-62.5
PNU,2001,11,11,0.0009891504645347595,11.248010253906273,-42.5,-60.0
PNU,2001,11,11,0.0012796458005905152,10.255364990234398,-42.5,-57.5
PNU,2001,11,11,0.0012796704769134522,10.239343261718773,-42.5,-55.0
PNU,2001,11,11,0.0013672964572906494,12.350976562500023,-40.0,-67.5
PNU,2001,11,11,0.0016245980262756348,15.515710449218773,-40.0,-65.0
PNU,2001,11,11,0.0011860418319702148,14.387902832031273,-40.0,-62.5
PNU,2001,11,11,0.0011834726333618164,13.602044677734398,-40.0,-60.0
PNU,2001,11,11,0.0014730674028396607,12.804711914062523,-40.0,-57.5
PNU,2001,11,11,0.0014730790853500367,12.800164794921898,-40.0,-55.0
PNU,2001,11,11,0.0012055478096008301,13.467218017578148,-37.5,-67.5
PNU,2001,11,11,0.0021036491394042967,16.721734619140648,-37.5,-65.0
PNU,2001,11,11,0.002020726680755615,18.372827148437523,-37.5,-62.5
PNU,2001,11,11,0.0021490466594696043,18.563714599609398,-37.5,-60.0
