year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeansquared_entre rios nogoya_9,tmeanrain_santa fe san justo_11,tmeansquared_buenos aires coronel suarez_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,tmeanrain_entre rios nogoya_10,tmeansquared_santa fe san justo_9,rainsquared_santa fe san justo_11,tmeanrain_buenos aires coronel suarez_9
1997,CCSM4,9,2623.2529203255017,0.1759128118634677,-0.6793539876790706,-0.7126708113313533,-1.702210935472968,1.065577422306364,-1.5643780531589433,0.9624839566233925,-0.5354760255653854,-0.8404554484818333,3.0124411314509705,-4.232678522075504
1997,CCSM4,10,2623.2529203255017,0.1759128118634677,0.05888165590401605,-0.763947429107276,-3.498003764518143,1.0004261513114048,-3.3191976384652295,-0.4409148741206526,0.021960780027045455,0.8528035190182396,3.5617305434060262,0.7601389857480411
1997,CCSM4,11,2623.2529203255017,0.1759128118634677,0.0658235565137465,-0.763947429107276,-2.407691527290104,0.8947194249706157,-0.8775990591047065,-0.4409148741206526,-0.1872729257082528,0.8528035190182396,1.5111849568324327,0.7601389857480411
1998,CCSM4,9,2304.962651203633,-0.0069315508171687,0.5709565723506627,-0.7440556083538342,1.1378417430747727,-0.13139457507196808,0.29646032610395,-0.45013359910228723,0.09657609251027745,-0.8294227161718706,-0.5156162512093712,-0.6109950315961707
1998,CCSM4,10,2304.962651203633,-0.0069315508171687,-0.6592723685790989,0.5534529416135349,-0.12314105796781111,-0.479857692386437,0.0008389447938554269,-0.5361534570880869,-1.4594706989570327,0.9941392463390284,-0.34628799364068946,-2.6025283497878897
1998,CCSM4,11,2304.962651203633,-0.0069315508171687,-0.1869524525995096,0.5534529416135349,0.6292944169821693,-0.16067870783777655,0.14445281286824643,-0.5361534570880869,-1.2355271055703665,0.9941392463390284,-0.3981418505566539,-2.6025283497878897
1999,CCSM4,9,2505.6008274599226,0.0603710133986302,1.0136691322311773,-0.5420997401182146,0.05517327899996242,-0.2888935810822072,-0.502407321360402,-0.5966459851555661,-0.3154521500996446,-0.47815105045949735,-0.09351532721764297,-0.23960732975862947
1999,CCSM4,10,2505.6008274599226,0.0603710133986302,0.7950070859515824,0.1780846308766986,-1.3635416131907292,10.61047117167389,-3.636538398117262,0.9231740065533972,1.2438463248787441,-0.2093389706155023,1.153998676300579,0.5317531079354265
1999,CCSM4,11,2505.6008274599226,0.0603710133986302,0.598296233990747,0.1780846308766986,0.6218607060491416,-0.33401806044082955,-0.11039811584972091,0.9231740065533972,0.198084842739793,-0.2093389706155023,-0.8141586628564506,0.5317531079354265
2000,CCSM4,9,2551.682570811968,0.0453192686395238,-0.34588505173859163,1.609897668648518,0.015624274897952525,-0.5353208135762332,0.34452124794005035,-0.5140546299997375,-0.11500777207354922,2.5284145632539077,-0.5835614183387944,0.017354846354019477
2000,CCSM4,10,2551.682570811968,0.0453192686395238,0.13399950019072743,-0.564329636383043,0.13361163131433318,-0.5437427073679467,0.3752492223854582,-0.5292592793592488,0.05323075903862792,-0.4206876269736901,-0.5786267743088663,-1.2463461165030476
2000,CCSM4,11,2551.682570811968,0.0453192686395238,-0.0698690826065604,-0.564329636383043,-0.34941095077031037,-0.4704670993016945,0.5850111897777406,-0.5292592793592488,-0.275610995791777,-0.4206876269736901,-0.5838232586714879,-1.2463461165030476
2001,CCSM4,9,2275.107945586972,-0.0832118001855024,-0.33965543639008583,-0.7899833000074259,-0.4156795898029927,-0.5421608330077943,0.4614522174867033,1.7840492116711837,-0.4483929617745227,-0.44260285400261773,-0.542117919927342,-0.2826445615249017
2001,CCSM4,10,2275.107945586972,-0.0832118001855024,0.11885773876351431,-0.7499595940262096,0.30205375649791416,0.5318513092765075,-0.3673006760418549,0.0888929796124224,-0.36562977968900745,-0.2996891214936992,-0.64385602432725,-1.2433379812878398
2001,CCSM4,11,2275.107945586972,-0.0832118001855024,-0.4466574438188995,-0.7499595940262096,0.12123237773302867,-0.480973998613884,0.44594862757369186,0.0888929796124224,-1.4585168448706654,-0.2996891214936992,-0.6516677478001853,-1.2433379812878398
2002,CCSM4,9,2098.312168451822,-0.1599897413045245,0.1254488096069813,-0.6530110922486346,0.03126488417662258,-0.39267741954682445,0.602186575383826,-0.5317467122133369,1.2714868551806568,0.7103026550539683,0.06285560045877983,0.023411768348639204
2002,CCSM4,10,2098.312168451822,-0.1599897413045245,1.8289038445478811,-0.7738639808919583,0.0196168940974227,0.23918248840867362,-0.6718909532853069,-0.6408790443192578,2.5485452635488954,-0.766260306273474,0.5569072546791821,0.5232752646835752
2002,CCSM4,11,2098.312168451822,-0.1599897413045245,0.8836079055713022,-0.7738639808919583,0.11911099764429076,0.004279164137450677,-0.3856551107201685,-0.6408790443192578,0.0341341132156535,-0.766260306273474,-0.8216344212452785,0.5232752646835752
2003,CCSM4,9,2687.6983520115846,0.0867211661741361,0.768011552207816,2.288895857631921,-0.5241404450593184,-0.5481488861434077,0.4285167490616052,-0.37455878325374325,0.3094113718862771,2.5047271307203007,-0.3855900184738723,1.241022856085497
2003,CCSM4,10,2687.6983520115846,0.0867211661741361,0.07184858988335133,-0.7922193933579774,0.01578886768782529,-0.5345801038537965,0.204080097889819,0.0571284311943044,-0.010670570304574535,-0.7233374356232056,-0.7315268832499713,-0.1911015914509483
2003,CCSM4,11,2687.6983520115846,0.0867211661741361,-0.3097749453826457,-0.7922193933579774,0.12220265355304197,-0.09116972156396626,0.4870580382849613,0.0571284311943044,-0.8736113732170927,-0.7233374356232056,-0.8822013021889688,-0.1911015914509483
2004,CCSM4,9,2768.3673897008125,0.0933536252225563,-2.0061447763943385,-0.7411590450158614,-2.558261852804101,0.2226886770860906,1.4032597634549195,-0.5469330782847824,-2.2209216364402553,-0.1950524824676844,1.290128244255636,0.10265381113878304
