year,model,init_month,yield [kg/ha],yield anomaly [%],tmeanrain_santa fe san justo_10,tmeanrain_santa fe san justo_11,rainsquared_buenos aires lujan_9,rainsquared_buenos aires villarino_11,tmeanrain_buenos aires hipolito yrigoyen_11,tmeansquared_buenos aires hipolito yrigoyen_11,tmeanrain_buenos aires coronel suarez_11,rainsquared_buenos aires hipolito yrigoyen_9,rainsquared_santa fe san justo_11,tmeanrain_buenos aires coronel suarez_9
1994,DWD,11,2185.741997507356,0.018137739947107,-1.3092868652250147,0.312420293538785,0.169900268808493,-0.8119645541723354,0.08285207747206136,-0.4976200981908569,0.25405585133012487,-0.6495979428989257,-0.7918042313920227,0.0571136543547486
1995,DWD,9,1946.759707253285,-0.1022646938567331,-0.5358324812978381,0.8147875689750077,-1.080213236823994,0.5657687205816522,0.39514830128410594,0.09314654276762448,-0.16166354417982204,-0.3783199968100126,3.3056475007974275,-0.9392133421555868
1995,DWD,10,1946.759707253285,-0.1022646938567331,0.3897539145891017,0.317805634537039,1.427194291674912,-0.5482224811610416,0.17556934786263995,-0.3258545068499545,0.0474660937802313,-0.2845898585412758,-0.6719423693617976,-1.1481360485105323
1995,DWD,11,1946.759707253285,-0.1022646938567331,0.0769519882599108,-2.010259496777853,1.427194291674912,-0.7073087721425245,0.489917802929436,11.538439844863241,-1.6941440146460787,-0.2845898585412758,-0.5730668408130879,-1.1481360485105323
1996,DWD,9,2260.47032027338,0.0409677436828619,-1.5879203897704386,-4.936184205410049,-1.0220146236599,0.35260864434185446,0.28059472982845174,1.2150981853010465,-0.03231642184991451,-0.5617550773471764,0.3779330001392561,0.1283194227824311
1996,DWD,10,2260.47032027338,0.0409677436828619,-0.006922864443170964,-1.1868665371765716,-0.7332391782504911,-0.7314255984567218,-0.34985021891340295,0.1290015371501151,0.34950654200437997,-0.3277967543467479,-0.05328638880828895,0.6089367879087929
1996,DWD,11,2260.47032027338,0.0409677436828619,0.0675973539638276,2.8335779405548047,-0.7332391782504911,-0.006220820394728217,-0.6091231621687078,0.12250574342403991,-0.48775461914249707,-0.3277967543467479,2.623080038682555,0.6089367879087929
1997,DWD,9,2623.2529203255017,0.1759128118634677,-1.5296160612744172,-0.41797857246659986,-0.4169175475851424,-0.17801435799685353,0.5792026888869343,-0.5056102644829491,0.10245240805916661,0.6881578480058328,-0.5061627095511396,-1.648608050763264
1997,DWD,10,2623.2529203255017,0.1759128118634677,-3.3346790118304517,0.013835646023692142,0.7682853320775033,-0.40444674230346306,0.2830619909265564,-0.4603022531734682,-0.08700398992927036,-0.556534215836245,-0.8204839152943717,0.7620076948737342
1997,DWD,11,2623.2529203255017,0.1759128118634677,0.1760252216141756,0.8598121047405254,0.7682853320775033,1.7472486365180377,0.1897371139414994,-0.5035053795276621,0.18022702695534265,-0.556534215836245,0.2355801515744469,0.7620076948737342
1998,DWD,9,2304.962651203633,-0.0069315508171687,0.2524169106411203,0.6272243638173692,-0.6149325652250895,-0.6451130990519381,0.6581224713874667,0.39166200170791854,0.6513466760565154,-0.5791731600194869,-0.3313501368805336,-0.3927075109837078
1998,DWD,10,2304.962651203633,-0.0069315508171687,-0.9169402205465277,-0.4422669046304709,-0.0675895337967047,-0.018823767181730712,0.41087731643732917,-0.5526132739313064,0.19792053978143515,-0.7086106139972915,1.2090765690162402,-3.146062638146909
1998,DWD,11,2304.962651203633,-0.0069315508171687,-0.1538637322305168,-0.0015928850215871124,-0.0675895337967047,-0.6219669156075983,0.2605234047798672,-0.49878863414965824,0.13742632481843575,-0.7086106139972915,0.010363602737824681,-3.146062638146909
1999,DWD,9,2505.6008274599226,0.0603710133986302,-0.15376250488550214,-2.327945785780129,0.33719039938731954,-0.5011501134946023,0.25190299598254406,-0.52827037932027,0.4410985553034242,-0.4649837480027464,0.40772754806898853,0.3004610064301003
1999,DWD,10,2505.6008274599226,0.0603710133986302,1.615707013967621,0.23793581984821116,-1.2474901191470529,0.24877318035440038,1.48980255163913,0.37641780765278116,2.4160760314806953,0.912484529718981,0.06618185847377318,0.4244495416408707
1999,DWD,11,2505.6008274599226,0.0603710133986302,0.5978444718673416,0.21736651474889523,-1.2474901191470529,0.04540953245492242,-0.16988561586041467,-0.46922867208031743,0.28824501062700475,0.912484529718981,-0.8178503238475889,0.4244495416408707
2000,DWD,9,2551.682570811968,0.0453192686395238,0.32663266762573434,0.23719960765179127,0.09822106279983059,1.867613929765452,-1.5614687295304424,-0.3381365571938658,0.37944188353282726,-0.44275233014645615,0.06256242228415584,1.8022458030416548
2000,DWD,10,2551.682570811968,0.0453192686395238,0.7984262346074877,0.2624066016678233,1.9519150085394,-0.24114417795050702,0.4136145936104057,0.3963325081060068,-0.1913252909612249,-0.7008937949926126,-0.48168907633105046,-1.6214719184391204
2000,DWD,11,2551.682570811968,0.0453192686395238,-0.014332180214023,-0.6931508753041453,1.9519150085394,-0.1257931549351813,0.181063677998557,-0.04378188240867583,-1.6562657444619446,-0.7008937949926126,0.12037480248415632,-1.6214719184391204
2001,DWD,9,2275.107945586972,-0.0832118001855024,-3.154601602074864,-0.050865248765659024,-0.35714553089683804,0.33841489321777957,-3.9974065138320363,0.44819266855289075,-1.0527349543593245,-0.4421096789333813,3.056965569743283,1.739931222321261
2001,DWD,10,2275.107945586972,-0.0832118001855024,-2.055499959774018,0.04300839880663573,-0.3957263954378085,-0.039383772658224,-0.43747259526151544,-0.5092673172288613,-0.41829927016017543,-0.0025587711996982,-0.439050340736638,-1.8347539052833253
2001,DWD,11,2275.107945586972,-0.0832118001855024,-0.4687768435560671,-0.38883349204753176,-0.3957263954378085,-0.8056966001108138,0.12930022175836645,-0.5044457626142523,0.33345767893416245,-0.0025587711996982,1.23189978206249,-1.8347539052833253
2002,DWD,9,2098.312168451822,-0.1599897413045245,0.3381816204756467,0.24699113008865906,-1.02381182881143,0.19449274172054837,0.16118146877156642,0.6031791236540198,-0.041160693062864774,-0.6370858417083075,-0.7638835956288021,-0.030263107210740145
2002,DWD,10,2098.312168451822,-0.1599897413045245,0.2949023724222654,0.16573345804652914,-1.2505109165928665,0.8148931669581633,-0.008998717204672413,-0.3255280720980898,0.10865396057249843,-0.8163222185276803,3.203622331891713,0.4994994387098888
2002,DWD,11,2098.312168451822,-0.1599897413045245,1.310720431262485,0.3810281165400652,-1.2505109165928665,-0.8312935855697745,0.11063678497877005,-0.5238455200739044,-0.13148304335656663,-0.8163222185276803,-0.6757731273890473,0.4994994387098888
2003,DWD,9,2687.6983520115846,0.0867211661741361,1.0170612869247528,0.44541590312017476,-0.32959492876932295,-0.8737247280176689,0.35139446843342803,-0.5444719190599757,0.535006298136331,-0.5378688331218245,-0.564299198800631,-0.35223654306575736
2003,DWD,10,2687.6983520115846,0.0867211661741361,0.5388307138686385,-0.4981288789519111,0.57729727002892,-0.8522568318911276,0.38912817781143166,0.050978570530409405,0.5548860610197315,0.0471202182868296,-0.7611172672771208,-0.1481307508234486
2003,DWD,11,2687.6983520115846,0.0867211661741361,-0.1326144125636059,0.31485177246877494,0.57729727002892,-0.6791483389764105,0.09455617669779562,-0.3805750021103029,-0.044530775388410083,0.0471202182868296,-0.6620692596534026,-0.1481307508234486
2004,DWD,9,2768.3673897008125,0.0933536252225563,0.25670105394291354,0.04762479916158599,-0.7451003986370826,-0.8451794071400764,0.5235744156083153,-0.5452399020353692,0.43827864132424643,-0.6211614592126325,-0.6934941672488633,0.3867430489528839
2004,DWD,10,2768.3673897008125,0.0933536252225563,-0.49619412206242686,2.978476489915792,-1.2151825168252797,-0.8440977984880511,0.35971279729054106,-0.5325356127089949,0.3834592774663626,-0.3654795613255509,1.2440058217350403,0.2805954036605669
